Disease;HPO
OMIM:222470;HP:0008070
OMIM:222470;HP:0002299
OMIM:222470;HP:0002007
OMIM:222470;HP:0002715
OMIM:222470;HP:0004322
OMIM:222470;HP:0002014
OMIM:222470;HP:0001561
OMIM:222470;HP:0008551
OMIM:222470;HP:0000193
OMIM:222470;HP:0002240
OMIM:222470;HP:0012023
OMIM:222470;HP:0000369
OMIM:222470;HP:0011220
OMIM:222470;HP:0000520
OMIM:222470;HP:0006267
OMIM:222470;HP:0003073
OMIM:222470;HP:0001399
OMIM:222470;HP:0011031
OMIM:222470;HP:0001732
OMIM:222470;HP:0011473
OMIM:222470;HP:0001518
OMIM:222470;HP:0004734
OMIM:222470;HP:0000316
OMIM:222470;HP:0000457
OMIM:222470;HP:0001396
OMIM:222470;HP:0009891
OMIM:222470;HP:0000343
OMIM:222470;HP:0000160
OMIM:222470;HP:0000007
OMIM:222470;HP:0000494
OMIM:222470;HP:0009886
OMIM:222470;HP:0000463
OMIM:222470;HP:0002212
OMIM:222470;HP:0000952
OMIM:222470;HP:0002041
OMIM:222470;HP:0100543
OMIM:222470;HP:0001395
OMIM:222470;HP:0000445
OMIM:222470;HP:0001511
OMIM:222470;HP:0003235
OMIM:222470;HP:0000154
OMIM:222470;HP:0002224
OMIM:222470;HP:0001394
OMIM:222470;HP:0001508
OMIM:222470;HP:0002213
OMIM:230650;HP:0001256
OMIM:230650;HP:0008430
OMIM:230650;HP:0001332
OMIM:230650;HP:0003651
OMIM:230650;HP:0000926
OMIM:230650;HP:0001871
OMIM:230650;HP:0002808
OMIM:230650;HP:0002869
OMIM:230650;HP:0002506
OMIM:230650;HP:0000007
OMIM:230650;HP:0001350
OMIM:230650;HP:0007759
OMIM:230650;HP:0002650
OMIM:230650;HP:0008166
OMIM:230650;HP:0003274
OMIM:230650;HP:0000271
OMIM:230650;HP:0003202
OMIM:230650;HP:0004322
OMIM:610448;HP:0200042
OMIM:610448;HP:0003621
OMIM:610448;HP:0002829
OMIM:610448;HP:0000006
OMIM:156400;HP:0100530
OMIM:156400;HP:0006487
OMIM:156400;HP:0000938
OMIM:156400;HP:0000347
OMIM:156400;HP:0001156
OMIM:156400;HP:0003510
OMIM:156400;HP:0003273
OMIM:156400;HP:0000452
OMIM:156400;HP:0003021
OMIM:156400;HP:0003072
OMIM:156400;HP:0000006
OMIM:156400;HP:0000248
OMIM:156400;HP:0000453
OMIM:156400;HP:0000829
OMIM:156400;HP:0004209
OMIM:156400;HP:0002515
OMIM:156400;HP:0004676
OMIM:156400;HP:0003155
OMIM:156400;HP:0000316
OMIM:156400;HP:0002737
OMIM:156400;HP:0003109
OMIM:156400;HP:0002756
OMIM:156400;HP:0000773
OMIM:156400;HP:0011001
OMIM:156400;HP:0100759
OMIM:156400;HP:0006380
OMIM:156400;HP:0002150
OMIM:156400;HP:0000774
OMIM:156400;HP:0002983
OMIM:156400;HP:0004493
OMIM:156400;HP:0002007
OMIM:156400;HP:0003026
OMIM:156400;HP:0005871
OMIM:156400;HP:0000520
OMIM:156400;HP:0000121
OMIM:156400;HP:0002148
OMIM:156400;HP:0000692
OMIM:605249;HP:0003010
OMIM:605249;HP:0000006
OMIM:605249;HP:0001902
OMIM:605249;HP:0008264
OMIM:605249;HP:0001873
OMIM:605249;HP:0000421
OMIM:109560;HP:0005550
OMIM:109560;HP:0002665
OMIM:611228;HP:0001288
OMIM:611228;HP:0006466
OMIM:611228;HP:0001284
OMIM:611228;HP:0000007
OMIM:611228;HP:0002936
OMIM:611228;HP:0003447
OMIM:611228;HP:0000762
OMIM:611228;HP:0003383
OMIM:611228;HP:0002359
OMIM:611228;HP:0005684
OMIM:611228;HP:0001265
OMIM:611228;HP:0002460
OMIM:611228;HP:0007182
OMIM:614751;HP:0000006
OMIM:614751;HP:0001761
OMIM:614751;HP:0003693
OMIM:614751;HP:0001284
OMIM:614751;HP:0001265
OMIM:614751;HP:0002460
OMIM:204300;HP:0000716
OMIM:204300;HP:0001336
OMIM:204300;HP:0002074
OMIM:204300;HP:0001250
OMIM:204300;HP:0001251
OMIM:204300;HP:0000726
OMIM:204300;HP:0002071
OMIM:204300;HP:0002059
OMIM:204300;HP:0002367
OMIM:204300;HP:0003657
OMIM:204300;HP:0002352
OMIM:204300;HP:0003208
OMIM:204300;HP:0003205
OMIM:204300;HP:0003581
OMIM:204300;HP:0000007
OMIM:204300;HP:0008765
OMIM:204300;HP:0003226
OMIM:614833;HP:0002465
OMIM:614833;HP:0002126
OMIM:614833;HP:0001273
OMIM:614833;HP:0001250
OMIM:614833;HP:0000252
OMIM:614833;HP:0000007
OMIM:614833;HP:0001260
OMIM:614833;HP:0003502
OMIM:614833;HP:0002342
OMIM:614833;HP:0002353
OMIM:140700;HP:0005511
OMIM:140700;HP:0001930
OMIM:140700;HP:0000006
OMIM:140700;HP:0001939
OMIM:140700;HP:0005511
OMIM:140700;HP:0001930
OMIM:140700;HP:0000006
OMIM:140700;HP:0001939
OMIM:140700;HP:0005511
OMIM:140700;HP:0001930
OMIM:140700;HP:0000006
OMIM:140700;HP:0001939
ORPHANET:35099;HP:0000365
ORPHANET:35099;HP:0009891
ORPHANET:35099;HP:0000337
ORPHANET:35099;HP:0002648
ORPHANET:35099;HP:0000520
ORPHANET:35099;HP:0002516
ORPHANET:35099;HP:0000365
ORPHANET:35099;HP:0009891
ORPHANET:35099;HP:0000337
ORPHANET:35099;HP:0002648
ORPHANET:35099;HP:0000520
ORPHANET:35099;HP:0002516
ORPHANET:35099;HP:0000365
ORPHANET:35099;HP:0009891
ORPHANET:35099;HP:0000337
ORPHANET:35099;HP:0002648
ORPHANET:35099;HP:0000520
ORPHANET:35099;HP:0002516
OMIM:615972;HP:0000568
OMIM:614507;HP:0002019
OMIM:614507;HP:0002020
OMIM:614507;HP:0003642
OMIM:614507;HP:0003593
OMIM:614507;HP:0001508
OMIM:614507;HP:0001410
OMIM:614507;HP:0001252
OMIM:614507;HP:0000486
OMIM:614507;HP:0000007
OMIM:614507;HP:0001263
OMIM:601072;HP:0000407
OMIM:601072;HP:0011463
OMIM:601072;HP:0000007
OMIM:616084;HP:0001263
OMIM:616084;HP:0001924
OMIM:616084;HP:0004313
OMIM:616084;HP:0004840
OMIM:616084;HP:0001252
OMIM:253270;HP:0002093
OMIM:253270;HP:0100533
OMIM:253270;HP:0001987
OMIM:253270;HP:0002793
OMIM:253270;HP:0002883
OMIM:253270;HP:0001992
OMIM:253270;HP:0001254
OMIM:253270;HP:0002013
OMIM:253270;HP:0001250
OMIM:253270;HP:0000708
OMIM:253270;HP:0001596
OMIM:253270;HP:0002789
OMIM:253270;HP:0001263
OMIM:253270;HP:0000737
OMIM:253270;HP:0100825
OMIM:253270;HP:0001252
OMIM:253270;HP:0000007
OMIM:253270;HP:0001873
OMIM:253270;HP:0000988
OMIM:253270;HP:0001824
OMIM:253270;HP:0008872
OMIM:253270;HP:0001276
OMIM:253270;HP:0001259
OMIM:253270;HP:0002017
OMIM:253270;HP:0001942
OMIM:614565;HP:0000007
OMIM:614565;HP:0001419
OMIM:614565;HP:0000505
OMIM:614565;HP:0007642
OMIM:614565;HP:0000639
OMIM:616099;HP:0040149
OMIM:616099;HP:0002209
OMIM:616099;HP:0000653
OMIM:616099;HP:0002231
OMIM:616099;HP:0000982
OMIM:616099;HP:0000535
OMIM:616099;HP:0002224
OMIM:133190;HP:0001025
OMIM:133190;HP:0001315
OMIM:133190;HP:0000006
OMIM:133190;HP:0000962
OMIM:133190;HP:0000966
OMIM:133190;HP:0001034
OMIM:133190;HP:0001260
OMIM:133190;HP:0000639
OMIM:133190;HP:0001288
OMIM:133190;HP:0000958
OMIM:133190;HP:0001272
OMIM:133190;HP:0002311
OMIM:133190;HP:0002066
OMIM:133190;HP:0002167
OMIM:133190;HP:0002075
OMIM:133190;HP:0001265
OMIM:273750;HP:0000007
OMIM:273750;HP:0005280
OMIM:273750;HP:0000463
OMIM:273750;HP:0003298
OMIM:273750;HP:0009237
OMIM:273750;HP:0001511
OMIM:273750;HP:0000325
OMIM:273750;HP:0002643
OMIM:273750;HP:0002750
OMIM:273750;HP:0004570
OMIM:273750;HP:0001763
OMIM:273750;HP:0000574
OMIM:273750;HP:0003307
OMIM:273750;HP:0008734
OMIM:273750;HP:0003691
OMIM:273750;HP:0008839
OMIM:273750;HP:0010306
OMIM:273750;HP:0001382
OMIM:273750;HP:0000047
OMIM:273750;HP:0001518
OMIM:273750;HP:0003100
OMIM:273750;HP:0000268
OMIM:273750;HP:0000470
OMIM:273750;HP:0004209
OMIM:273750;HP:0002827
OMIM:273750;HP:0000303
OMIM:273750;HP:0000179
OMIM:273750;HP:0002007
OMIM:273750;HP:0004322
OMIM:273750;HP:0000272
OMIM:273750;HP:0000307
OMIM:273750;HP:0000767
OMIM:273750;HP:0000773
OMIM:273750;HP:0008897
OMIM:273750;HP:0000343
OMIM:615160;HP:0001987
OMIM:615160;HP:0002151
OMIM:615160;HP:0001942
OMIM:615160;HP:0001943
OMIM:615160;HP:0000007
OMIM:615160;HP:0003542
OMIM:608978;HP:0006703
OMIM:608978;HP:0004383
OMIM:608978;HP:0001743
OMIM:608978;HP:0008736
OMIM:608978;HP:0000028
OMIM:608978;HP:0000142
OMIM:608978;HP:0002101
OMIM:608978;HP:0000776
OMIM:608978;HP:0000062
OMIM:123500;HP:0000348
OMIM:123500;HP:0000678
OMIM:123500;HP:0000648
OMIM:123500;HP:0000405
OMIM:123500;HP:0000586
OMIM:123500;HP:0001250
OMIM:123500;HP:0000327
OMIM:123500;HP:0000303
OMIM:123500;HP:0000248
OMIM:123500;HP:0000006
OMIM:123500;HP:0010535
OMIM:123500;HP:0000486
OMIM:123500;HP:0004442
OMIM:123500;HP:0002516
OMIM:123500;HP:0004443
OMIM:123500;HP:0000509
OMIM:123500;HP:0000413
OMIM:123500;HP:0000505
OMIM:123500;HP:0001739
OMIM:123500;HP:0004440
OMIM:123500;HP:0002308
OMIM:123500;HP:0001363
OMIM:123500;HP:0004439
OMIM:123500;HP:0002007
OMIM:123500;HP:0003319
OMIM:123500;HP:0001999
OMIM:123500;HP:0000316
OMIM:123500;HP:0000508
OMIM:252600;HP:0000773
OMIM:252600;HP:0001328
OMIM:252600;HP:0001659
OMIM:252600;HP:0007759
OMIM:252600;HP:0001072
OMIM:252600;HP:0000885
OMIM:252600;HP:0002680
OMIM:252600;HP:0000007
OMIM:252600;HP:0001363
OMIM:252600;HP:0003333
OMIM:252600;HP:0001249
OMIM:252600;HP:0000943
OMIM:252600;HP:0003026
OMIM:252600;HP:0001171
OMIM:252600;HP:0003264
OMIM:252600;HP:0002650
OMIM:252600;HP:0004322
OMIM:252600;HP:0000303
OMIM:252600;HP:0001498
OMIM:252600;HP:0003182
OMIM:252600;HP:0000280
OMIM:252600;HP:0006162
OMIM:252600;HP:0003538
OMIM:252600;HP:0004236
OMIM:252600;HP:0000484
OMIM:252600;HP:0000488
OMIM:608390;HP:0002486
OMIM:608390;HP:0003457
OMIM:608390;HP:0008872
OMIM:608390;HP:0001371
OMIM:608390;HP:0003552
OMIM:608390;HP:0003326
OMIM:608390;HP:0005949
OMIM:608390;HP:0100749
OMIM:608390;HP:0001288
OMIM:608390;HP:0003712
OMIM:608390;HP:0001276
OMIM:608390;HP:0010307
OMIM:608390;HP:0000006
OMIM:610629;HP:0000006
OMIM:610629;HP:0011904
OMIM:610629;HP:0005518
OMIM:610629;HP:0001972
